1,2019
2,2018
3,2017
4,2016
5,2015
6,2014
7,2013
8,2012
9,2011
10,2010
11,2009
12,2008
13,2007
14,2006
15,2005
16,2004
17,2003
18,2002
19,2001
20,2000
21,1999
22,1998
23,1997
24,1996
25,1995
26,1994
27,1993
28,1992
29,1991
30,1990
31,1989
32,1988
33,1987
34,1986
35,1985
36,1984
37,1983
38,1982
39,1981
40,1980
41,1979
42,1978
43,1977
44,1976
45,1975
46,1974
47,1973
48,1972
49,1971
50,1970
51,1969
52,1968
53,1967
54,1966
55,1965
56,1964
57,1963
58,1962
59,1961
60,1960
61,1959
62,1958
63,1957
64,1956
65,1955
66,1954
67,1953
68,1952
69,1951
70,1950
71,1949
72,1948
73,1947
74,1946
75,1945
76,1944
77,1943
78,1942
79,1941
